2025-05-26 10:57:18,765 - 原始数据长度: [[0.00000000e+00 9.02321620e-01]
 [1.00000000e+00 5.23916868e-01]
 [2.00000000e+00 8.89460111e-01]
 [3.00000000e+00 9.75977983e-01]
 [4.00000000e+00 7.86869474e-01]
 [5.00000000e+00 7.62534518e-01]
 [6.00000000e+00 1.00529903e-01]
 [7.00000000e+00 5.64198545e-01]
 [8.00000000e+00 7.39950950e-01]
 [9.00000000e+00 3.95140069e-02]
 [1.00000000e+01 9.68072494e-01]
 [1.10000000e+01 4.28844172e-01]
 [1.20000000e+01 3.08360579e-01]
 [1.30000000e+01 9.41144888e-01]
 [1.40000000e+01 1.47919598e-01]
 [1.50000000e+01 1.72280471e-01]
 [1.60000000e+01 3.23986826e-02]
 [1.70000000e+01 5.80037778e-01]
 [1.80000000e+01 3.57938957e-01]
 [1.90000000e+01 3.92961196e-01]
 [2.00000000e+01 2.77622356e-01]
 [2.10000000e+01 5.64162971e-01]
 [2.20000000e+01 5.33639609e-02]
 [2.30000000e+01 7.44390484e-01]
 [2.40000000e+01 4.44397870e-01]
 [2.50000000e+01 8.65534438e-01]
 [2.60000000e+01 3.27845997e-02]
 [2.70000000e+01 2.31639558e-01]
 [2.80000000e+01 3.27197657e-01]
 [2.90000000e+01 4.95496399e-01]
 [3.00000000e+01 6.47390097e-01]
 [3.10000000e+01 4.49790520e-01]
 [3.20000000e+01 2.42768339e-01]
 [3.30000000e+01 7.91663487e-01]
 [3.40000000e+01 9.64848694e-01]
 [3.50000000e+01 6.67345838e-01]
 [3.60000000e+01 2.29628515e-01]
 [3.70000000e+01 3.03765596e-01]
 [3.80000000e+01 6.45616939e-01]
 [3.90000000e+01 8.20930027e-01]
 [4.00000000e+01 3.23212001e-01]
 [4.10000000e+01 2.76041533e-01]
 [4.20000000e+01 3.72573847e-01]
 [4.30000000e+01 8.41973469e-01]
 [4.40000000e+01 5.82461302e-01]
 [4.50000000e+01 2.94914310e-01]
 [4.60000000e+01 7.56461325e-02]
 [4.70000000e+01 1.75639207e-01]
 [4.80000000e+01 8.38975692e-01]
 [4.90000000e+01 5.63857506e-01]
 [5.00000000e+01 4.24335080e-02]
 [5.10000000e+01 4.73333363e-01]
 [5.20000000e+01 5.87835210e-01]
 [5.30000000e+01 9.06132819e-02]
 [5.40000000e+01 2.48610396e-01]
 [5.50000000e+01 5.05858694e-01]
 [5.60000000e+01 1.23313862e-01]
 [5.70000000e+01 7.54572554e-01]
 [5.80000000e+01 8.69483710e-01]
 [5.90000000e+01 3.61024703e-01]
 [6.00000000e+01 5.13059071e-01]
 [6.10000000e+01 3.72010396e-01]
 [6.20000000e+01 9.25095191e-01]
 [6.30000000e+01 4.14567817e-01]
 [6.40000000e+01 7.20546823e-01]
 [6.50000000e+01 2.55991417e-01]
 [6.60000000e+01 2.29997909e-01]
 [6.70000000e+01 9.29920496e-01]
 [6.80000000e+01 1.18506019e-01]
 [6.90000000e+01 8.79568048e-02]
 [7.00000000e+01 2.12654207e-01]
 [7.10000000e+01 8.72280377e-01]
 [7.20000000e+01 5.72610189e-01]
 [7.30000000e+01 5.32777918e-01]
 [7.40000000e+01 2.18173783e-01]
 [7.50000000e+01 6.99609448e-02]
 [7.60000000e+01 6.01384210e-01]
 [7.70000000e+01 4.59295614e-01]
 [7.80000000e+01 4.44708924e-01]
 [7.90000000e+01 8.84159134e-01]
 [8.00000000e+01 1.35608425e-01]
 [8.10000000e+01 8.52425123e-01]
 [8.20000000e+01 4.57231161e-01]
 [8.30000000e+01 8.99244735e-01]
 [8.40000000e+01 4.91549227e-01]
 [8.50000000e+01 6.66120496e-01]
 [8.60000000e+01 9.06501144e-01]
 [8.70000000e+01 4.55992620e-01]
 [8.80000000e+01 8.71972131e-01]
 [8.90000000e+01 3.63635194e-01]
 [9.00000000e+01 1.03197890e-01]
 [9.10000000e+01 5.39393932e-01]
 [9.20000000e+01 8.22158704e-02]
 [9.30000000e+01 2.22987034e-01]
 [9.40000000e+01 4.57840163e-01]
 [9.50000000e+01 1.72943833e-01]
 [9.60000000e+01 6.95295936e-01]
 [9.70000000e+01 1.34554742e-01]
 [9.80000000e+01 6.89325685e-01]
 [9.90000000e+01 9.90884384e-01]]
2025-05-26 10:57:18,765 - 降采样后的数据长度: 20
2025-05-26 10:57:18,765 - 降采样后的数据: [[0.00000000e+00 9.02321620e-01]
 [6.00000000e+00 1.00529903e-01]
 [1.00000000e+01 9.68072494e-01]
 [1.60000000e+01 3.23986826e-02]
 [2.30000000e+01 7.44390484e-01]
 [2.60000000e+01 3.27845997e-02]
 [3.40000000e+01 9.64848694e-01]
 [3.70000000e+01 3.03765596e-01]
 [4.30000000e+01 8.41973469e-01]
 [5.00000000e+01 4.24335080e-02]
 [5.80000000e+01 8.69483710e-01]
 [5.90000000e+01 3.61024703e-01]
 [6.70000000e+01 9.29920496e-01]
 [6.90000000e+01 8.79568048e-02]
 [7.50000000e+01 6.99609448e-02]
 [7.90000000e+01 8.84159134e-01]
 [8.80000000e+01 8.71972131e-01]
 [9.00000000e+01 1.03197890e-01]
 [9.70000000e+01 1.34554742e-01]
 [9.90000000e+01 9.90884384e-01]]
